text,label
function machines for a given algebraic input find the output of a function machine which of the following pairs of function machines are correct 2 function machines both with 4 rectangles in a row and joined by arrows pointing from left to right the first function machine has p written inside the first rectangle on the left and input written above it it has 3 written inside the next rectangle 2 written inside the next rectangle and the final rectangle on the right has output written above it and 2p 3 written inside it the second function machine has p written inside the first rectangle on the left and input written above it it has 3 written inside the next rectangle 2 written inside the next rectangle and the final rectangle on the right has output written above it and 2p 3 written inside it,77
function machines for a given algebraic input find the output of a function machine which of the following pairs of function machines are correct \ \begin{array}{l}a\rightarrow4 \rightarrow\times 3\rightarrow43 a \\ a\rightarrow4\rightarrow\times 3\rightarrow34a\end{array} \,77
function machines for a given input find the output of a function machine a function machine with 4 rectangles in a row joined by arrows pointing from left to right the first rectangle on the left has input written above it and 8 written inside it the next rectangle has 2 written inside it the next rectangle has 1 written inside it and the final rectangle on the right is empty and has output written above it what is the output of this function machine \ 14 \,77
writing expressions use brackets to write function machines as calculations jo and paul are arguing about the result of this function machine jo says the output is \ \frac{n}{5}3 \ paul says the output is \ \frac{n3}{5} \ who is correct a function machine showing an input of n and operations divide by 5 and add 3 both jo and paul,77
function machines for a given algebraic input find the output of a function machine which of the following pairs of function machines are correct \a \rightarrow 5 \rightarrow \times2 \rightarrow 2a5\ \a \rightarrow \times2 \rightarrow 5\rightarrow 2a5\,77
function machines for a given algebraic input find the output of a function machine tom and katie are discussing the output of this \ 2 \step function machine input \x\rightarrow 10\rightarrow\ multiplied by 3\\rightarrow\ output tom says the output is \ \mathbf{3 x}\mathbf{3 0} \ katie says the output is \ \mathbf{1 0}\mathbf{3} \boldsymbol{x} \ who is correct only katie,77
bidmas use brackets to write function machines as calculations here is a function machine input \ \rightarrow2 \rightarrow\times 5 \rightarrow \ output the input is \ 7 \ which calculation gives the correct output \ 7 \times 52 \,77
function machines for a given algebraic input find the output of a function machine which of the following pairs of function machines are correct 2 function machines both with 4 rectangles in a row and joined by arrows pointing from left to right the first function machine has p written inside the first rectangle on the left and input written above it it has 3 written inside the next rectangle 2 written inside the next rectangle and the final rectangle on the right has output written above it and 3 2p written inside it the second function machine has p written inside the first rectangle on the left and input written above it it has 3 written inside the next rectangle 2 written inside the next rectangle and the final rectangle on the right has output written above it and 23 p written inside it,77
multiplying and dividing negative numbers multiply proper fractions in the form fraction integer \ \frac{1}{3} \times6 \ \ \frac{1}{18} \,78
linear sequences nth term write a missing term of a descending integer linear sequence an image of 5 boxes each box representing a number in a sequence the first box contains a star the second is empty the third contains the number 488 and the fourth and fifth boxes are also empty a descending linear sequence has a constant difference of \ 17 \ and the \ 3^{\text {rd }} \ term is \ 488 \ what should replace the star \ 454 \,81
linear sequences nth term write a missing term of a descending integer linear sequence \begin{tabular}{lclclclcc} \hline \\bigstar\ \ \\ 712 \ \\ \ \\\end{tabular} a descending linear sequence has a constant difference of \ 22 \ and the \ 3^{\text {rd }} \ term is \ 712 \ what should replace the star \ 668 \,81
plotting quadratics from tables of values given a negative x value find the corresponding y value for curves in the form y x c this is a part of the table of values for the equation \ yx^{2} \ \begin{tabular}{ll} \hline\ x \ \ 9 \ \\ \hline\ y \ \ \color{gold}\bigstar \ \\ \hline \end{tabular} what should replace the star \ 81 \,82
plotting quadratics from tables of values substitute positive noninteger values into expressions involving powers or roots jo and paul are discussing quadratic equations jo says there is no value of \ x \ that can make \ 1x^{2} \ negative paul says there is no value of \ x \ that can make \ 1x^{2} \ positive who is correct neither is correct,82
plotting quadratics from tables of values given a negative x value find the corresponding y value for curves in the form y x bx c this is a part of the table of values for the equation \yx^{2}x\ \begin{tabular}{cc} \hline\ x \ \ 7 \ \\ \hline\ y \ \\bigstar\ \\ \hline \end{tabular} what should replace the star \ 42 \,82
plotting quadratics from tables of values given a negative x value find the corresponding y value for curves in the form y x bx c this is part of a table of values for \yx^{2} 2 x1\ \begin{tabular}{cc} \hline\ x \ \ 1 \ \\ \hline\ y \ \\bigstar\ \\ \hline \end{tabular} what should replace the star \ 2 \,82
plotting quadratics from tables of values given a negative x value find the corresponding y value for curves in the form y x bx c this is part of a table of values for \yx^{2}2 x1\ what should replace the star \begin{tabular}{cc} \hline\ x \ \ 3 \ \\ \hline\ y \ \\bigstar\ \\ \hline \end{tabular} \ 2 \,82
distance between two coordinates calculate the distance between two coordinates in 2d where all the values are integers but at least one is negative amy is trying to work out the distance between these two points \ 25 \ and \ 71 \ she labels them like this \ \begin{array}{cccc}x_{1} y_{1} x_{2} y_{2} \\ 2 5 7 1\end{array} \ and then decides to use this formula \ \sqrt{\leftx_{2}x_{1}\right^{2}\lefty_{2}y_{1}\right^{2}} \ \ \sqrt{9^{2}6^{2}} \ what is the distance between the points \ \sqrt{45} \,82
plotting quadratics from tables of values given a negative x value find the corresponding y value for curves in the form y x c this is a part of the table of values for the equation \yx^{2}4\ \begin{tabular}{ll} \hline\ x \ \ 6 \ \\ \hline\ y \ \ \bigstar \ \\ \hline \end{tabular} what should replace the star \ 32 \,82
plotting quadratics from tables of values given a negative x value find the corresponding y value for curves in the form y x c tom and katie are discussing the table of values for \ yx^{2}1 \ \begin{tabular}{ll} \hline\ x \ \ \bigstar \ \\ \hline\ y \ \ 15 \ \\ \hline \end{tabular} tom says the star could be \ 4 \ katie says the star could be \ 4 \ who is correct only tom,82
parallel lines recognise perpendicular lines an image of 8 line segments on a square grid ab is a vertical line measuring 4 units cd is a diagonal line with a positive gradient of 15 ef is a vertical line measuring 3 units gh is a diagonal line with a negative gradient of 46 ij is a diagonal line with a negative gradient of 3 kl is a diagonal line with a positive gradient of 13 mn is a vertical line measuring 6 units op is a diagonal line with a positive gradient of 64 which line segment is perpendicular to ij \ \mathrm{mn} \,83
solving linear inequalities solve onestep linear inequalities in one variable where the variable appears on one side of the equation in which region would \ x53 \ belong a venn diagram made up of two overlapping circles one circle is labelled x53 is less than or equal to 0 and the other circle is labelled 53x2 is greater than 0 a is in the x53 is less than or equal to 0 circle only b is in the overlap of the two circles c is in the 53x2 is great than 0 circle only d is outside both circles b,84
pictogram construct a pictogram involving fractions of symbols the pictogram shows the number of each type of tree in a small wood there are \ 50 \ oak trees how many tree symbols would you need to draw to represent this a pictogram with a key showing that 1 tree picture 20 trees elm has 5 tree pictures ash has 7 and a half tree pictures oak has no tree pictures beech has 2 tree pictures \ 10 \,86
factorising into a single bracket identify factors of algebraic expressions which of the following is a factor of \ 6 n^{2}9 \ \ n \,91
factorising into a single bracket identify factors of algebraic expressions which of the following is a factor of \ 6 p^{2}11 p \ \ p^{2} \,91
rotation describe a 90 or 270 rotation giving the angle and direction of rotation and the coordinates of the centre of rotation where the centre of rotation lies on the edge or outside of the object jo and paul are arguing about how to fully describe the rotation from shape \ p \ to shape \ q \ jo says a rotation of \ 90^{\degree} \ anticlockwise paul says a rotation of \ 270^{\degree} \ about \ 11^{\prime \prime} \ who is correct a coordinate grid with two trapeziums drawn on it and a centre of rotation marked on one space to the right and one space up from the origin trapezium p has the coordinates 44 24 23 and 41 trapezium q has the coordinates 42 40 30 and 12 neither is correct,95
reflection reflect an object or a point in a horizontal line with the line of reflection given as an equation where the line of reflection lies on the edge or outside the object the triangle is reflected in the \ x \axis what are the new coordinates of point \ p \ a set of axes xaxis from 1 to 8 yaxis from 5 to 6 three points are plotted and joined to make a triangle 2 0 4 0 2 3 point 2 3 is labelled with the letter p \ 32 \,101
writing expressions use brackets to write function machines as calculations tom and katie are arguing about the result of this function machine tom says the output is \ 3 n12 \ katie says the output is \ 3n4 \ who is correct a function machine with input n and operations subtract 4 multiply by 3 only katie,102
completing the square complete the square for expressions that end up in the form x a b \ m^{2}6 m1 \equivm \bigstar ^{2} \triangle \ \\bigstar 12 \,103
writing ratios express pictorial representations of objects as a ratio a group of 8 squares and 5 circles what is the ratio of squares to circles \ 5 8 \,105
writing ratios express pictorial representations of objects as a ratio a group of six squares and three circles what is the ratio of squares to circles \ 3 6 \,105
writing ratios divide a quantity into two parts for a given a ratio where each part is an integer for every \ 3 \ green squares there is \ 1 \ red square how many squares should be coloured green in the grid on the right \begin{tabular}{ccc} \hline \\\ \\\ \\\ \\ \hline \\\ \\\ \\\ \\ \hline \\\ \\\ \\\ \\ \hline \\\ \\\ \\\ \\ \hline \end{tabular} \ 3 \,105
sharing in a ratio given information about the relationship between two parts eg one part is worth 5 more than another work out other parts percy quentin and robbie share gold coins in the ratio of \ 3 7 8 \ percy gets \ 36 \ fewer coins than quentin how many gold coins did robbie get \ 63 \,105
properties of quadrilaterals identify a rhombus from a description of the properties tom and katie have been asked to give the name of a quadrilateral with four equal sides tom says arrowhead katie says rhombus who do you agree with neither is correct,106
solving linear inequalities solve linear inequalities in one variable that require three or more steps where the variable appears on one side of the equation solve \ 42 \geq 62 n1 \ \ \frac{35}{12} \geq n \,107
expanding single brackets multiply a single term over a bracket where the term on the outside is a number and the inside contains a linear expression expand \ 6p2 \ \ 6 p4 \,107
expanding single brackets multiply a single term over a bracket where the term on the outside is a number and the inside contains a linear expression expand \ 3p1 \ \ 3 p2 \,107
other sequences describe a termtoterm sequence which of the following termtoterm rule describes this sequence \ 4 \quad 10 \quad 14 \quad 24 \quad \ldots \ to get the next term you multiply the previous term by \ 3 \ and subtract \ 2 \,108
other sequences describe a termtoterm sequence which of the following termtoterm rule describes this sequence \ 2 \quad 9 \quad 11 \quad 20 \quad \ldots \ to get the next term you multiply the previous term by \ 5 \ and subtract \ 1 \,108
quadratic sequences count a number of objects \ 1357 \ldots \ which pattern matches the sequence above a sequence of 4 patterns the first pattern is one blue dot the other patterns are triangles made from blue dots like the one in the first pattern pattern 2 has 2 dots on the bottom and 1 dot above these pattern 3 is the same as pattern 2 but with 3 extra dots that form a 3rd row at the bottom pattern 4 is the same as pattern 3 but with 4 extra dots forming a 4th row at the bottom,108
other sequences describe a termtoterm sequence which of the following termtoterm rule describes this sequence \ 2 \quad 5 \quad 14 \quad 41 \ldots \ to get the next term you square the previous term and add \ 1 \,108
quadratic sequences count a number of objects \ 13610 \ldots \text { } \ which pattern matches the sequence above a sequence represented using red circles arranged in a pattern so that the first term has one red dot and then an additional two dots are added underneath this one red dot for the second term for the third term another two red dots are added underneath and for the fourth term two more added underneath the previous pattern,108
other sequences describe a termtoterm sequence which of the following termtoterm rule describes this sequence \ 4 \quad 10 \quad 28 \quad 82 \quad \ldots \ to get the next term you double the previous term and add \ 2 \,108
factors and highest common factor identify factors of algebraic expressions tom and katie are discussing factors tom says \ 3 \ is a common factor of \ 18 x \ and \ 29 y \ katie says \ x \ is a common factor of \ 6 x \ and \ 9 y \ who is correct only tom,109
distance between two coordinates calculate the length of horizontal and vertical line segments a rectangle drawn on a coordinate grid three of the vertices are labelled 312 1012 and 107 there is a red arrow between 312 and 1012 indicating the width what is the width of this rectangle as indicated by the arrow \ 13 \,110
naming coordinates in 2d solve coordinate geometry questions involving quadrilaterals tom and katie are discussing what coordinates would complete a square tom says \ 18 \ and \ 58 \ katie says \ 36 \ and \ 32 \ who is correct a pair of axes with no labels 1st quadrant only 2 points are marked with red dots and are labelled with coordinates 1 4 and 5 4 neither is correct,110
coordinate geometry with straight lines solve coordinate geometry questions involving ratio given that \ a c3 a b \ what are the coordinates of \ c \ a straight line labelled y2x1 is drawn on a set of axes points a b and c are all on the line point a is 23 and b is 59 \ 2136 \,110
distance between two coordinates solve coordinate geometry questions involving quadrilaterals what is the height of the rectangle as indicated by the arrow a pair of axes with no labels 4 points are marked and joined with straight lines to make a rectangle the top left corner of the rectangle is labelled with coordinate 47 the bottom right corner of the rectangle is labelled with coordinate 212 a doubleended vertical arrow spans the height of the rectangle starting level with 212 and ending level with the corner of the rectangle directly above 212 \ 2 \,110
naming coordinates in 2d can calculate missing coordinates in a geometric shape here are \ 3 \ vertices of a rectangle \623200 \text { }\ what are the coordinates of the \ 4^{\text {th }} \ vertex \ 23 \,110
difference of two squares factorise a quadratic expression in the form x c which of the following answers shows a correct factorisation of the expression below \ x^{2}9 \ cannot be factorised,113
simplifying algebraic fractions simplify an algebraic fraction by factorising both the numerator and denominator simplify the following if possible \ \frac{t^{2}1}{t1} \ does not simplify,113
difference of two squares factorise a quadratic expression in the form x c factorise this expression if possible \ p^{2}100 \ does not factorise,113
difference of two squares factorise a quadratic expression in the form x c factorise this expression if possible \ p^{2}4 \ does not factorise,113
simplifying algebraic fractions simplify an algebraic fraction by factorising both the numerator and denominator simplify the following if possible \ \frac{4 t^{2}1}{4 t2} \ does not simplify,113
difference of two squares factorise a quadratic expression in the form x c factorise this expression if possible \ p^{2}16 \ does not factorise,113
simplifying algebraic fractions simplify an algebraic fraction by factorising the numerator write the following as simply as possible \ \frac{x^{2}1}{x1} \ none of the options,113
difference of two squares factorise a quadratic expression in the form x c factorise this expression if possible \ p^{2}9 \ does not factorise,113
basic angle facts straight line opposite around a point etc recognise the vertically opposite angles relationship what is the relationship between these two angles a pair of lines crossing to form an x shape two angles are marked with one blank angle between them on each side they are parallel,114
midpoint between two coordinates given a midpoint and a coordinate work out the position of the other coordinate where all the values are integers but at least one is negative here are two points and their midpoint what should replace the star a set of axis including all four quadrants lilac circle marked and labelled by coordinates 6 3 red circle marked and labelled coordinates 11 another lilac circle in the fourth quadrant marked and labelled with a set of brackets x coordinate covered by a yellow star and y coordinate covered by a green triangle \\color{gold}\bigstar\ 6,118
real life graphs given the speed calculate missing values from a displacementtime graph this displacementtime graph shows the first \ 10 \ seconds of mos journey during that time he travelled at a speed of \ 6 \mathrm{m} \mathrm{s} \ what distance should replace the star a graph showing time in seconds on the x axis and distance in metres on the y axis a straight line is drawn from the origin to the point 10 \\bigstar \ \ 16 \mathrm{m} \,119
converting between fractions and decimals convert fractions less than 1 to terminating decimals of 2 decimal places tom and katie are discussing fractions decimals and percentages tom says \ \frac{11}{50}011 \ katie says \ \frac{11}{50}22 \ \ who is correct neither is correct,120
equivalent fractions identify equivalent fractions when presented as numbers what number replaces the circle to make these two fractions equivalent \ \frac{2}{7}\frac{6}{} \ \ 7 \,120
adding and subtracting fractions subtract proper fractions with different denominators which do not share a common factor tom and katie are discussing how to work out the answer to \ \frac{5}{6}\frac{1}{3} \ tom says you could change both denominators to \ 6 \ katie says you could change both denominators to \ 18 \ who is correct neither is correct,120
linear equations solve linear equations with the variable appearing on both sides involving positive fractions which of the following is a correct first step to solve this equation \\frac{5 r6}{6 r}7\ \ \frac{5}{6}r7 \,120
equivalent fractions identify equivalent fractions when presented as shapes or objects by comparing the fraction of the rectangle that is shaded in each diagram decide which is the odd one out a rectangle with 39 shaded in purple,120
mental addition and subtraction identify that a problem needs to be solved using addition which of the following calculations would solve this problem harvey is monitoring the growth of his plant the plant was \ 35 \mathrm{cm} \ tall it grew \ 7 \mathrm{cm} \ more how tall is the plant now \ 35 \times 7 \,126
place value find another power of 10 more than a given number what number is \ 10000 \ more than \ 899051 \ \ 8990510000 \,126
basic calculator use perform calculator calculations with powers which button would you press to raise a number to a power which button would you press to raise a number to a power a scientific calculator a scientific calculator image of a calculator button the symbol on the button is \ s \leftrightarrow d \ image of a calculator button the symbol on the button is \ s \leftrightarrow d \,127
finding the gradient and intercept of a line from the equation find the gradient of a line written in the form ax by c a line has equation \ 5 x3 y7 \ what is its gradient \ 5 \,130
factors and highest common factor identify factors of a number which of these is not a factor of \ 12 \ twelve,131
factors and highest common factor identify factors of a number \ 1248 \ these are the only factors of \ 16 \,131
factors and highest common factor identify factors of a number which of these is not a factor of \ 18 \ eighteen,131
quadratic equations solve quadratic equations using balancing a student wishes to solve the equation below which of the following is a correct next step \ d6^{2}160 \ step \ 1 \ \ d6^{2}16 \ \ d64 \,132
solving linear inequalities solve onestep linear inequalities in one variable where the variable appears on one side of the equation solve the inequality \\frac{1}{3} y \leq6\ \ y \geq 2 \,133
