subjectName,constructName,latex_formatted_question,question,latext_formatted_wrongAnswer,wrongAnswer,misconception,latex_formatted_wrongAnswer
Substitution into Formula,Substitute positive integer values into formulae involving powers or roots,"The equation \( f=3 r^{2}+3 \) is used to find values in the table below. What is the value covered by the star? \begin{tabular}{|c|c|c|c|c|}
\hline\( r \) & \( 1 \) & \( 2 \) & \( 3 \) & \( 4 \) \\
\hline\( f \) & \( 6 \) & \( 15 \) & \( \color{gold}\bigstar \) & \\
\hline
\end{tabular}",The equation f=3 r^2+3 is used to find values in the table below. What is the value covered by the star?  r     1     2     3     4   f     6     15            ,\( 24 \),24,"1818    Thinks you can find missing values in a given ...
Name: MisconceptionName, dtype: object",
Area of Simple Shapes,Identify a unit of area,"James has answered a question on the area of a trapezium and got an answer of \( 54 \).

Behind the star he has written the units that he used.

\(
54 \, \bigstar 
\)

Which of the following units could be correct?",James has answered a question on the area of a trapezium and got an answer of 54.  Behind the star he has written the units that he used.  54  Which of the following units could be correct?,,m,"686    Does not know units of area should be squared
Name: MisconceptionName, dtype: object",\( m \)
Area of Simple Shapes,Identify a unit of area,"James has answered a question on the area of a trapezium and got an answer of \( 54 \).

Behind the star he has written the units that he used.

\(
54 \, \bigstar 
\)

Which of the following units could be correct?",James has answered a question on the area of a trapezium and got an answer of 54.  Behind the star he has written the units that he used.  54  Which of the following units could be correct?,\( \mathrm{cm} \),cm,"686    Does not know units of area should be squared
Name: MisconceptionName, dtype: object",
Area of Simple Shapes,Identify a unit of area,"James has answered a question on the area of a trapezium and got an answer of \( 54 \).

Behind the star he has written the units that he used.

\(
54 \, \bigstar 
\)

Which of the following units could be correct?",James has answered a question on the area of a trapezium and got an answer of 54.  Behind the star he has written the units that he used.  54  Which of the following units could be correct?,\( \mathrm{km}^{3} \),km^3,"686    Does not know units of area should be squared
Name: MisconceptionName, dtype: object",
Converting between Fractions and Percentages,Convert two digit integer percentages to fractions,"Convert this percentage to a fraction
\( 62 \% \)",Convert this percentage to a fraction 62 %,,62/10,"329    Does not understand a percentage is out of 100
Name: MisconceptionName, dtype: object",\( \frac{62}{10} \)
Converting between Fractions and Percentages,Convert two digit integer percentages to fractions,"Convert this percentage to a fraction
\( 62 \% \)",Convert this percentage to a fraction 62 %,\( \frac{6}{2} \),6/2,"847    Thinks they can convert a 2 digit percentage t...
Name: MisconceptionName, dtype: object",
Converting between Fractions and Percentages,Convert two digit integer percentages to fractions,"Convert this percentage to a fraction
\( 62 \% \)",Convert this percentage to a fraction 62 %,None of these,None of these,"329    Does not understand a percentage is out of 100
Name: MisconceptionName, dtype: object",
Multiplying and Dividing with Decimals,Divide decimals by 10,\( 43.2 \div 10= \),43.2 ÷ 10=,\( 0.432 \),0.432,"2123    Divided by 100 rather than 10
Name: MisconceptionName, dtype: object",
Multiplying and Dividing with Decimals,Divide decimals by 10,\( 43.2 \div 10= \),43.2 ÷ 10=,\( 33.2 \),33.2,"2273    Subtracts instead of divides
Name: MisconceptionName, dtype: object",
Multiplying and Dividing with Decimals,Divide decimals by 10,\( 43.2 \div 10= \),43.2 ÷ 10=,\( 43.02 \),43.02,"2133    When dividing a decimal by a multiple of 10, j...
Name: MisconceptionName, dtype: object",
Adding and Subtracting Fractions,Subtract proper fractions with different denominators which do not share a common factor,"\(
\frac{4}{5}-\frac{1}{3}=\frac{\bigstar}{15}
\)
What should replace the star?",4/5-1/3=/15 What should replace the star?,\( 5 \),5,"907    Does not find a common denominator when adding...
Name: MisconceptionName, dtype: object",
Adding and Subtracting Fractions,Subtract proper fractions with different denominators which do not share a common factor,"\(
\frac{4}{5}-\frac{1}{3}=\frac{\bigstar}{15}
\)
What should replace the star?",4/5-1/3=/15 What should replace the star?,\( 17 \),17,"1514    Adds instead of subtracts
Name: MisconceptionName, dtype: object",
Adding and Subtracting Fractions,Subtract proper fractions with different denominators which do not share a common factor,"\(
\frac{4}{5}-\frac{1}{3}=\frac{\bigstar}{15}
\)
What should replace the star?",4/5-1/3=/15 What should replace the star?,\( 3 \),3,"907    Does not find a common denominator when adding...
Name: MisconceptionName, dtype: object",
Transformations of functions in the form f(x),Identify horizontal translations in the form f(x) = for non-trigonometric functions,"What transformation maps the graph of
\(y=f(x)
\)
to the graph of
\(
y=f(x-3)
\)",What transformation maps the graph of y=f(x) to the graph of y=f(x-3),,Translation by vector [[ 0; 3 ]],"1889    Believes f(x - a) translates the function up a...
Name: MisconceptionName, dtype: object","Translation by vector
\(
\left[\begin{array}{l}
0 \\
3
\end{array}\right]
\)"
Transformations of functions in the form f(x),Identify horizontal translations in the form f(x) = for non-trigonometric functions,"What transformation maps the graph of
\(y=f(x)
\)
to the graph of
\(
y=f(x-3)
\)",What transformation maps the graph of y=f(x) to the graph of y=f(x-3),"Translation by vector
\(
\left[\begin{array}{c}
0 \\
-3
\end{array}\right]
\)",Translation by vector [[  0; -3 ]],"1234    Believes f(x + a) translates the function up a...
Name: MisconceptionName, dtype: object",
Transformations of functions in the form f(x),Identify horizontal translations in the form f(x) = for non-trigonometric functions,"What transformation maps the graph of
\(y=f(x)
\)
to the graph of
\(
y=f(x-3)
\)",What transformation maps the graph of y=f(x) to the graph of y=f(x-3),"Translation by vector
\(
\left[\begin{array}{r}
-3 \\
0
\end{array}\right]
\)",Translation by vector [[ -3;  0 ]],"1312    Believes f(x) + a translates the function righ...
Name: MisconceptionName, dtype: object",
Expanding Triple Brackets and more,Expand products of three binomials in the form (x + a)(x + b)(x + c),"John is expanding these three brackets:
\(
(x+5)(x-3)(x+6)
\)

He finds it helpful to split the first bracket and view the problem as follows:
\(
x(x-3)(x+6)+5(x-3)(x+6)
\)

He expands the brackets further. Before he simplifies, what are the terms than contain an \( \boldsymbol{x}^{2} \) ?","John is expanding these three brackets: (x+5)(x-3)(x+6)  He finds it helpful to split the first bracket and view the problem as follows: x(x-3)(x+6)+5(x-3)(x+6)  He expands the brackets further. Before he simplifies, what are the terms than contain an x^2 ?",\( \begin{array}{l}+6 x^{2} \\ +3 x^{2} \\ +5 x^{2}\end{array} \),[ +6 x^2; +3 x^2; +5 x^2 ],"583    Ignores negative sign when expanding bracket
Name: MisconceptionName, dtype: object",
Nets,Identify the net of a non-prism,This is the net of a... ![A circle touching a sector](),This is the net of a... ![A circle touching a sector](),,Triangle,"690    Struggles to visualise nets of 3D shapes
Name: MisconceptionName, dtype: object",Triangle
Nets,Identify the net of a non-prism,This is the net of a... ![A circle touching a sector](),This is the net of a... ![A circle touching a sector](),Triangular prism,Triangular prism,"690    Struggles to visualise nets of 3D shapes
Name: MisconceptionName, dtype: object",
Nets,Identify the net of a non-prism,This is the net of a... ![A circle touching a sector](),This is the net of a... ![A circle touching a sector](),Triangularbased pyramid,Triangularbased pyramid,"690    Struggles to visualise nets of 3D shapes
Name: MisconceptionName, dtype: object",
Angle Facts with Parallel Lines,Identify alternate angles,"Tom and Katie are arguing about alternate angles.
Tom says angles \( p \) and \( q \) are alternate.

Katie says angles \( p \) and \( q \) are equal.
Who is correct? ![Shows two non parallel lines that are intersected by another line. Angles P and Q are both on the outside of the lines and on opposite sides of the transversal.]()",Tom and Katie are arguing about alternate angles. Tom says angles p and q are alternate.  Katie says angles p and q are equal. Who is correct? ![Shows two non parallel lines that are intersected by another line. Angles P and Q are both on the outside of the lines and on opposite sides of the transversal.](),"Only
Katie",Only Katie,"2156    Thinks alternate angles are always equal
Name: MisconceptionName, dtype: object",
Angle Facts with Parallel Lines,Identify alternate angles,"Tom and Katie are arguing about alternate angles.
Tom says angles \( p \) and \( q \) are alternate.

Katie says angles \( p \) and \( q \) are equal.
Who is correct? ![Shows two non parallel lines that are intersected by another line. Angles P and Q are both on the outside of the lines and on opposite sides of the transversal.]()",Tom and Katie are arguing about alternate angles. Tom says angles p and q are alternate.  Katie says angles p and q are equal. Who is correct? ![Shows two non parallel lines that are intersected by another line. Angles P and Q are both on the outside of the lines and on opposite sides of the transversal.](),Both Tom and Katie,Both Tom and Katie,"2156    Thinks alternate angles are always equal
Name: MisconceptionName, dtype: object",
Angle Facts with Parallel Lines,Identify alternate angles,"Tom and Katie are arguing about alternate angles.
Tom says angles \( p \) and \( q \) are alternate.

Katie says angles \( p \) and \( q \) are equal.
Who is correct? ![Shows two non parallel lines that are intersected by another line. Angles P and Q are both on the outside of the lines and on opposite sides of the transversal.]()",Tom and Katie are arguing about alternate angles. Tom says angles p and q are alternate.  Katie says angles p and q are equal. Who is correct? ![Shows two non parallel lines that are intersected by another line. Angles P and Q are both on the outside of the lines and on opposite sides of the transversal.](),Neither is correct,Neither is correct,"1588    Thinks only angles on parallel lines can be al...
Name: MisconceptionName, dtype: object",
Time,Convert from hours to minutes,"Hannah's journey to camp is \( 3 \) hours and \( 16 \) minutes.
Tori's journey to camp is \( 214 \) minutes.
What is the difference in their journeys in minutes?",Hannah's journey to camp is 3 hours and 16 minutes. Tori's journey to camp is 214 minutes. What is the difference in their journeys in minutes?,\( 102 \) minutes,102 minutes,"161    Answers as if there are 100 minutes in an hour...
Name: MisconceptionName, dtype: object",
Trial and Improvement and Iterative Methods,Select the correct answer to an iteration question to the required degree of accuracy,"\(
x_{n+1}=5-\frac{1}{x_{n}}
\)

Using a starting value of \( x_{1}=2 \), what is the solution to \( x=5-\frac{1}{x} \) to \( 2 \) decimal places?","x_n+1=5-1/x_n  Using a starting value of x_1=2, what is the solution to x=5-1/x to 2 decimal places?",,4.78,"1775    Stops iteration too early when solving equations
Name: MisconceptionName, dtype: object",\( 4.78 \)
Trial and Improvement and Iterative Methods,Select the correct answer to an iteration question to the required degree of accuracy,"\(
x_{n+1}=5-\frac{1}{x_{n}}
\)

Using a starting value of \( x_{1}=2 \), what is the solution to \( x=5-\frac{1}{x} \) to \( 2 \) decimal places?","x_n+1=5-1/x_n  Using a starting value of x_1=2, what is the solution to x=5-1/x to 2 decimal places?",\( 4.79128 \ldots \),4.79128 …,"1248    Rounds to the wrong degree of accuracy (rounds...
Name: MisconceptionName, dtype: object",
Trial and Improvement and Iterative Methods,Select the correct answer to an iteration question to the required degree of accuracy,"\(
x_{n+1}=5-\frac{1}{x_{n}}
\)

Using a starting value of \( x_{1}=2 \), what is the solution to \( x=5-\frac{1}{x} \) to \( 2 \) decimal places?","x_n+1=5-1/x_n  Using a starting value of x_1=2, what is the solution to x=5-1/x to 2 decimal places?",\( 4.8 \),4.8,"1529    Rounds to the wrong degree of accuracy (signif...
Name: MisconceptionName, dtype: object",
Area of Simple Shapes,Calculate the area of an equilateral triangle where the dimensions are given in the same units,"How would you calculate the area of this triangle? ![A triangle, base 12m. All three sides are equal.]()","How would you calculate the area of this triangle? ![A triangle, base 12m. All three sides are equal.]()",\( \frac{12 \times 12}{2} \),12 × 12/2,"590    Has used slant height and base to find area of...
Name: MisconceptionName, dtype: object",
Area of Simple Shapes,Calculate the area of an equilateral triangle where the dimensions are given in the same units,"How would you calculate the area of this triangle? ![A triangle, base 12m. All three sides are equal.]()","How would you calculate the area of this triangle? ![A triangle, base 12m. All three sides are equal.]()",\( \frac{12 \times 12 \times 12}{2} \),12 × 12 × 12/2,"71    Multiplies all given dimensions when calculati...
Name: MisconceptionName, dtype: object",
Sharing in a Ratio,"Divide a quantity into two parts for a given a ratio, where each part is an integer","In the diagram, AN : NB \( =3: 5 \) 
What is the distance AN? ![A line that begins with point A, ends with point B, and has point N in between. The entire length of the line measures 48 m.]()","In the diagram, AN : NB =3: 5  What is the distance AN? ![A line that begins with point A, ends with point B, and has point N in between. The entire length of the line measures 48 m.]()",,16  m,"2378    Divides total amount by each side of the ratio...
Name: MisconceptionName, dtype: object",\( 16 \mathrm{~m} \)
Sharing in a Ratio,"Divide a quantity into two parts for a given a ratio, where each part is an integer","In the diagram, AN : NB \( =3: 5 \) 
What is the distance AN? ![A line that begins with point A, ends with point B, and has point N in between. The entire length of the line measures 48 m.]()","In the diagram, AN : NB =3: 5  What is the distance AN? ![A line that begins with point A, ends with point B, and has point N in between. The entire length of the line measures 48 m.]()",\( 30 \mathrm{~m} \),30  m,"105    Mixes up sides of a ratio
Name: MisconceptionName, dtype: object",
Sharing in a Ratio,"Divide a quantity into two parts for a given a ratio, where each part is an integer","In the diagram, AN : NB \( =3: 5 \) 
What is the distance AN? ![A line that begins with point A, ends with point B, and has point N in between. The entire length of the line measures 48 m.]()","In the diagram, AN : NB =3: 5  What is the distance AN? ![A line that begins with point A, ends with point B, and has point N in between. The entire length of the line measures 48 m.]()",\( 6 \mathrm{~m} \),6  m,"1659    Finds one part of a ratio but doesn't multiply...
Name: MisconceptionName, dtype: object",
Ordering Negative Numbers,Prove statements involving odd and even numbers,Which of these shows part of the proof that the sum of two odd numbers is even?,Which of these shows part of the proof that the sum of two odd numbers is even?,,[ 2 n+(2 m+1);   =2(n+m)+1 ],"616    Does not understand that 2n represents an even...
Name: MisconceptionName, dtype: object",\( \begin{array}{l}2 n+(2 m+1) \\ =2(n+m)+1\end{array} \)
Ordering Negative Numbers,Prove statements involving odd and even numbers,Which of these shows part of the proof that the sum of two odd numbers is even?,Which of these shows part of the proof that the sum of two odd numbers is even?,\( \begin{array}{l}(2 n-1)(2 m+1) \\ =4 m n+2 n-2 m-1 \\ =2(2 m n-n-m)+1\end{array} \),[   (2 n-1)(2 m+1); =4 m n+2 n-2 m-1;  =2(2 m n-n-m)+1 ],"2130    Does not know the meaning of the word ""sum""
Name: MisconceptionName, dtype: object",
Ordering Negative Numbers,Prove statements involving odd and even numbers,Which of these shows part of the proof that the sum of two odd numbers is even?,Which of these shows part of the proof that the sum of two odd numbers is even?,\( \begin{array}{l}\text { Odd + Odd } \\ =\text { even }\end{array} \),[ Odd + Odd;    = even ],"616    Does not understand that 2n represents an even...
Name: MisconceptionName, dtype: object",
Adding and Subtracting Negative Numbers,Carry out missing number subtraction problems involving negative integers,"![Number line with -12 and -7 marked. Starting at -12, follow an arrow pointing to the right labelled +10. Then there is an arrow labelled b pointing to the left, which ends at -7 on the number line.]() What is the value of \( b \) ?","![Number line with -12 and -7 marked. Starting at -12, follow an arrow pointing to the right labelled +10. Then there is an arrow labelled b pointing to the left, which ends at -7 on the number line.]() What is the value of b ?",,-7,"2179    Assumes that an arrow on a number line starts ...
Name: MisconceptionName, dtype: object",\( -7 \)
Adding and Subtracting Negative Numbers,Carry out missing number subtraction problems involving negative integers,"![Number line with -12 and -7 marked. Starting at -12, follow an arrow pointing to the right labelled +10. Then there is an arrow labelled b pointing to the left, which ends at -7 on the number line.]() What is the value of \( b \) ?","![Number line with -12 and -7 marked. Starting at -12, follow an arrow pointing to the right labelled +10. Then there is an arrow labelled b pointing to the left, which ends at -7 on the number line.]() What is the value of b ?",\( -6 \),-6,"1824    Counts the starting number when counting backw...
Name: MisconceptionName, dtype: object",
Adding and Subtracting Algebraic Fractions,Subtract algebraic fractions where the denominators are single terms and are not multiples of each other,"Express the following as a single fraction, writing your answer as simply as possible: \( \frac{1}{s}-\frac{t}{3} \)","Express the following as a single fraction, writing your answer as simply as possible: 1/s-t/3",,1-t/3 s,"1916    When subtracting fractions, subtracts the nume...
Name: MisconceptionName, dtype: object",\( \frac{1-t}{3 s} \)
Adding and Subtracting Algebraic Fractions,Subtract algebraic fractions where the denominators are single terms and are not multiples of each other,"Express the following as a single fraction, writing your answer as simply as possible: \( \frac{1}{s}-\frac{t}{3} \)","Express the following as a single fraction, writing your answer as simply as possible: 1/s-t/3",\( \frac{s-3 t}{3 s} \),s-3 t/3 s,"2147    Believes they should multiply each numerator b...
Name: MisconceptionName, dtype: object",
Adding and Subtracting Algebraic Fractions,Subtract algebraic fractions where the denominators are single terms and are not multiples of each other,"Express the following as a single fraction, writing your answer as simply as possible: \( \frac{1}{s}-\frac{t}{3} \)","Express the following as a single fraction, writing your answer as simply as possible: 1/s-t/3",\( \frac{1-t}{s-3} \),1-t/s-3,"907    Does not find a common denominator when adding...
Name: MisconceptionName, dtype: object",
Volume of Prisms,"Given the volume of a cuboid, work out missing information","The volume of this cuboid is \( 30 \mathrm{~cm}^{3} \)

What length should replace the star? ![A cuboid, depth 2cm and height 3cm. The width is labelled with a star.]()","The volume of this cuboid is 30  cm^3  What length should replace the star? ![A cuboid, depth 2cm and height 3cm. The width is labelled with a star.]()",\( 25 \mathrm{~cm} \),25  cm,"1984    Adds when calculating volume instead of multip...
Name: MisconceptionName, dtype: object",
Factorising into a Double Bracket,Factorise a quadratic expression in the form ax² + bx + c where a is prime,"Step 1: Factorise the following expression

\(
3 x^{2}+5 x+2
\)",Step 1: Factorise the following expression  3 x^2+5 x+2,,(3 x+2)(3 x+1),"2240    When factorising a quadratic with a non-unit c...
Name: MisconceptionName, dtype: object",\( (3 x+2)(3 x+1) \)
Mental Addition and Subtraction,"Given the solution to one problem, deduce the answer to a related problem using the same operation","Tom and Katie are discussing related calculations
Tom says if you know that \( 3748+426=4174 \), then \( 3748+427 \) must equal \( \mathbf{4 1 7 5} \)

Katie says if you know that \( 3748-426=3322 \), then \( 3748 \) - \( 427 \) must equal \( \mathbf{3 3 2 3} \)
Who is correct?","Tom and Katie are discussing related calculations Tom says if you know that 3748+426=4174, then 3748+427 must equal 4 1 7 5  Katie says if you know that 3748-426=3322, then 3748 - 427 must equal 3 3 2 3 Who is correct?",Only Katie,Only Katie,"1408    Does not realise that adding a larger number g...
Name: MisconceptionName, dtype: object",
Mental Addition and Subtraction,"Given the solution to one problem, deduce the answer to a related problem using the same operation","Tom and Katie are discussing related calculations
Tom says if you know that \( 3748+426=4174 \), then \( 3748+427 \) must equal \( \mathbf{4 1 7 5} \)

Katie says if you know that \( 3748-426=3322 \), then \( 3748 \) - \( 427 \) must equal \( \mathbf{3 3 2 3} \)
Who is correct?","Tom and Katie are discussing related calculations Tom says if you know that 3748+426=4174, then 3748+427 must equal 4 1 7 5  Katie says if you know that 3748-426=3322, then 3748 - 427 must equal 3 3 2 3 Who is correct?",Both Tom and Katie,Both Tom and Katie,"2408    Does not realise that subtracting a larger num...
Name: MisconceptionName, dtype: object",
Real Life Graphs,Interpret sloping linear sections of a displacement-time graph,"This graph shows how far Fido the dog is from his home.
What might the negative-sloping section represent? ![A graph with time (secs) on the horizontal axis and distance (m) on the vertical axis. The graph starts at the origin, travels in a straight line up and right, travels horizontally, then travels in a straight line down and right back to the x-axis. ]()","This graph shows how far Fido the dog is from his home. What might the negative-sloping section represent? ![A graph with time (secs) on the horizontal axis and distance (m) on the vertical axis. The graph starts at the origin, travels in a straight line up and right, travels horizontally, then travels in a straight line down and right back to the x-axis. ]()",Fido has fallen asleep,Fido has fallen asleep,"2492    Confuses rest and movement on a distance time ...
Name: MisconceptionName, dtype: object",
Real Life Graphs,Interpret sloping linear sections of a displacement-time graph,"This graph shows how far Fido the dog is from his home.
What might the negative-sloping section represent? ![A graph with time (secs) on the horizontal axis and distance (m) on the vertical axis. The graph starts at the origin, travels in a straight line up and right, travels horizontally, then travels in a straight line down and right back to the x-axis. ]()","This graph shows how far Fido the dog is from his home. What might the negative-sloping section represent? ![A graph with time (secs) on the horizontal axis and distance (m) on the vertical axis. The graph starts at the origin, travels in a straight line up and right, travels horizontally, then travels in a straight line down and right back to the x-axis. ]()",Fido is accelerating,Fido is accelerating,"2032    Believes the gradient of a distance-time graph...
Name: MisconceptionName, dtype: object",
Real Life Graphs,Interpret sloping linear sections of a displacement-time graph,"This graph shows how far Fido the dog is from his home.
What might the negative-sloping section represent? ![A graph with time (secs) on the horizontal axis and distance (m) on the vertical axis. The graph starts at the origin, travels in a straight line up and right, travels horizontally, then travels in a straight line down and right back to the x-axis. ]()","This graph shows how far Fido the dog is from his home. What might the negative-sloping section represent? ![A graph with time (secs) on the horizontal axis and distance (m) on the vertical axis. The graph starts at the origin, travels in a straight line up and right, travels horizontally, then travels in a straight line down and right back to the x-axis. ]()",Fido is walking away from home,Fido is walking away from home,"2437    Believes a downward slope on a distance-time g...
Name: MisconceptionName, dtype: object",
Mental Multiplication and Division,Solve missing number mental multiplication questions,"What should replace the star?
\[
\bigstar \times 4=108
\]",What should replace the star?      × 4=108 ,\( 432 \),432,"2271    When solving a problem that requires an invers...
Name: MisconceptionName, dtype: object",
Mental Multiplication and Division,Solve missing number mental multiplication questions,"What should replace the star?
\[
\bigstar \times 4=108
\]",What should replace the star?      × 4=108 ,\( 104 \),104,"1319    Adds instead of multiples
Name: MisconceptionName, dtype: object",
Substitution into Formula,Calculate speed where distance and time are in the appropriate units,"The formula for speed is
\(
\text { Speed }=\frac{\text { Distance }}{\text { Time }}
\)
A snail travels \( 4 \mathrm{~m} \) in \( 10 \) hours. What was its speed?",The formula for speed is Speed = Distance / Time A snail travels 4  m in 10 hours. What was its speed?,\( 40 \) metres per hour,40 metres per hour,"509    Believes speed is distance multiplied by time
Name: MisconceptionName, dtype: object",
Substitution into Formula,Calculate speed where distance and time are in the appropriate units,"The formula for speed is
\(
\text { Speed }=\frac{\text { Distance }}{\text { Time }}
\)
A snail travels \( 4 \mathrm{~m} \) in \( 10 \) hours. What was its speed?",The formula for speed is Speed = Distance / Time A snail travels 4  m in 10 hours. What was its speed?,\( 2.5 \) metres per hour,2.5 metres per hour,"2359    Believes division is commutative 
Name: MisconceptionName, dtype: object",
Equation of a Circle,"Given a sketch of a circle with centre at the origin, write its equation in the form x² + y² = r²","What is the equation of this circle? ![A set of axes with a circle drawn. The circle goes through the points (4,0), (0, -4), (-4,0) and (0,4). ]()","What is the equation of this circle? ![A set of axes with a circle drawn. The circle goes through the points (4,0), (0, -4), (-4,0) and (0,4). ]()",\( x^{2}+y^{2}=\sqrt{4} \),x^2+y^2=√(4),"2474    Confuses the square root of the radius with th...
Name: MisconceptionName, dtype: object",
Equation of a Circle,"Given a sketch of a circle with centre at the origin, write its equation in the form x² + y² = r²","What is the equation of this circle? ![A set of axes with a circle drawn. The circle goes through the points (4,0), (0, -4), (-4,0) and (0,4). ]()","What is the equation of this circle? ![A set of axes with a circle drawn. The circle goes through the points (4,0), (0, -4), (-4,0) and (0,4). ]()",\( x^{2}+y^{2}=8 \),x^2+y^2=8,"2316    Mixes up squaring and multiplying by 2 or doub...
Name: MisconceptionName, dtype: object",
Equation of a Circle,"Given a sketch of a circle with centre at the origin, write its equation in the form x² + y² = r²","What is the equation of this circle? ![A set of axes with a circle drawn. The circle goes through the points (4,0), (0, -4), (-4,0) and (0,4). ]()","What is the equation of this circle? ![A set of axes with a circle drawn. The circle goes through the points (4,0), (0, -4), (-4,0) and (0,4). ]()",\( x^{2}+y^{2}=4 \),x^2+y^2=4,"1944    Confuses the radius with the radius squared in...
Name: MisconceptionName, dtype: object",
